id,classification,name,kj,protein,fat,carbs
F002258,31302,"Cardamom seed, dried, ground","1,236",10.8,6.7,34.4
F002893,31302,"Chilli (chili), dried, ground","1,280",13.4,14.3,14.9
F002963,31302,"Cinnamon, dried, ground","1,004",4,1.2,27.5
F002970,31302,"Cloves, dried, ground","1,389",6,13,31.6
F003190,31302,"Coriander seed, dried, ground","1,344",12.4,17.8,8.4
F003327,31302,"Cumin (cummin) seed, dried, ground","1,782",17.8,22.3,33.7
F003337,31302,Curry powder,"1,231",14.3,14,2.8
F003821,31302,"Fenugreek seed, dried","1,080",23,6.4,4.2
F004210,31302,"Ginger, dried, ground","1,397",9,4.2,57.5
F005972,31302,Mustard powder,"2,289",29.4,39.5,17.2
F006118,31302,"Nutmeg, dried, ground","2,090",5.8,36.3,28.5
F006281,31302,"Oregano, dried","1,096",9,4.3,26.4
F006316,31302,"Paprika, dry powder","1,311",14.1,12.9,19.1
F006618,31302,"Pepper, black, ground","1,156",10.4,3.3,38.6
F007715,31302,"Rosemary, dried","1,314",4.9,15.2,20.4
F007726,31302,"Sage, dried","1,320",10.6,12.8,20.4
F009160,31302,"Thyme, dried, ground","1,182",9.1,7.4,26.9
F009335,31302,"Turmeric, dried, ground","1,219",9.7,3.2,44.4
F007870,31301,"Salt substitute, potassium chloride",0,0,0,0
F007878,31301,"Salt, table, iodised",0,0,0,0
F007879,31301,"Salt, table, non-iodised",0,0,0,0
F008933,31303,"Stock, dry powder or cube",900,11.3,8.9,22.5
F009072,31303,"Taco seasoning mix, chilli-based","1,010",5.9,4.1,39.7
F000247,31501,"Baking powder, dry powder",364,0.8,0.3,19.8
F000248,31501,"Baking soda (bicarbonate), dry powder",0,0,0,0
F003250,31501,"Cream of tartar, dry powder",2,0,0,0
F004196,31502,"Gelatine, all types","1,449",84.4,0.4,0
F004220,12103,"Gluten, from wheat (vital wheat gluten)","1,507",75.2,0,13.2
F008831,24102,"Starch, potato","1,332",0,0.5,74.5
F009351,31401,"Vanilla, artificial or imitation",231,0,0,14.4
F009350,31401,Vanilla bean extract,"1,203",0.1,0.1,12.6
F009606,31101,"Yeast, dry powder","1,126",36.4,5,6.3
F000996,29101,"Beer, high alcohol (5% v/v & above)",174,0.5,0,2.1
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",152,0.4,0,2.3
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,0.3,0,1
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",128,0.3,0,2.2
